Hanzi	Definition	Pinyin	Pinyin2	HSK	Formation	Examples
的	of, aim, goal, possessive particle, -self suffix	de	dē, dí, dì	1	Pictophonetic - White 白 implies the meaning while 勺 provides the sound	目的[mùdì]: aim, purpose<br>的确[díquè]: really, indeed<br>亲爱的[qīnàide]: sweetheart, darling, dear
一	one, a, an, alone, Kangxi radical 1	yī		1	Ideograph - representing heaven (天), horizon (旦), or a bar	一下[yīxià]: (used after a verb to indicate a short, quick, random, informal action)<br>一起[yīqǐ]: the same place, together<br>一会儿[yīhuìér]: a little while, a moment
是	is, are, am, yes, to be	shì		1	Ideograph - Speak 曰 straight 正	但是[dànshì]: but, however<br>总是[zǒngshì]: always<br>还是[háishì]: or, still, nevertheless
不	no, not, un-, negative prefix	bù		1	Pictograph - Picture of a bird flying away	不客气[bùkèqi]: you're welcome, impolite, rude, blunt, don't mention it<br>对不起[duìbuqǐ]: unworthy, to let down, I'm sorry, excuse me, pardon me<br>不但[bùdàn]: not only (... but also...)
了	to finish, particle of completed action, clear	le	liǎo	1	Pictograph - a child 子 without the two arms	为了[wèile]: for, for the sake of, in order to<br>了解[liǎojiě]: to understand, to realize, to find out<br>除了[chúle]: besides, apart from (... also...), in addition to, except (for)
在	at, in, on, to exist, in the middle of doing something	zài		1	Pictophonetic - exists on earth 土, 才 provides sound	现在[xiànzài]: now, at present, at the moment, modern, current<br>正在[zhèngzài]: in process of, in course of<br>实在[shízài]: in reality, honestly, really, verily, concrete
人	man, person, people, mankind, someone else	rén		1	Pictograph - a person walking on two legs	别人[biérén]: other people, others, other person<br>客人[kèrén]: visitor, guest<br>个人[gèrén]: individual
有	to have, there is, there are, to exist, to be	yǒu		1	Pictophonetic - moon 月 with 又 (phonetic)	只有[zhǐyǒu]: only<br>有名[yǒumíng]: famous, well-known<br>所有[suǒyǒu]: all, to have, to possess, to own
我	I, me, my	wǒ		1	Ideograph - Hand 手 holding a weapon 戈 to protect oneself	我们[wǒmen]: we, us, ourselves, our<br>自我[zìwǒ]: self, oneself<br>依我看[yīwǒkàn]: in my opinion
他	him, he, other, another	tā		1	Pictophonetic - Person 亻with 也 phonetic	其他[qítā]: other, the others, else, other than (that person), in addition to the person mentioned above<br>他人[tārén]: others<br>他们[tāmen]: they
这	this, these, such, here, the	zhè		1	Ideograph - Walk 辶 with talk 文	这儿[zhèér]: here<br>这个[zhège]: this one, this<br>这么[zhème]: so, such, this way, like this
个	individual, (measure word), this, that, piece	gè	gě	1	Pictophonetic - Simplified form of 個, a count of people 亻, 固 provides the sound	个子[gèzi]: height, stature, build, size<br>个人[gèrén]: individual<br>个别[gèbié]: individual, specific, respective, just one or two
们	(plural marker for pronouns and a few animate nouns)	men	mén, mēn	1	Pictophonetic - More than one persons 亻on the front door 门, 门 provides sound	我们[wǒmen]: we, us, ourselves, our<br>咱们[zánmen]: we or us (including both the speaker and the person(s) spoken to), I or me, you<br>人们[rénmen]: people
中	central, center, middle, in the midst of, hit (target)	zhōng	zhòng	1	Pictograph - split off a box in the middle with a line 丨	中午[zhōngwǔ]: noon, midday<br>中国[zhōngguó]: China, Middle Kingdom<br>中文[zhōngwén]: Chinese, Chinese written language, Chinese writing
来	to come, to arrive, to return, coming, future	lái		1	Pictograph - Simplified form of 來, picture of a wheat plant	后来[hòulái]: afterwards, later<br>起来[qǐlái]: stand up, sit up, rise to one's feet<br>从来[cónglái]: always, at all times, never (if used in negative sentence)
上	on, on top, upon, first (of two parts), previous or last (week etc)	shàng	shǎng	1	Ideograph - indicating above the line or ground 一	上午[shàngwǔ]: morning<br>上班[shàngbān]: to go to work, to be on duty, to start work, to go to the office<br>早上[zǎoshàng]: morning
大	big, huge, large, major, great	dà	dài	1	Pictograph - a man with outstretched arms and legs	大家[dàjiā]: authority, everyone<br>大使馆[dàshǐguǎn]: embassy<br>大夫[dàifu]: doctor, physician
为	as (in the capacity of), to take something as, to act as, to serve as, to behave as	wéi	wèi	2	Phonetic loan - Simplified form of 為, use a hand to feed an elephant, borrowed for the sound, see also feed 喂	为什么[wèishénme]: why?, for what reason?<br>因为[yīnwèi]: because, owing to, on account of<br>为了[wèile]: for, for the sake of, in order to
和	and, together with, with, sum, union	hé	hè, huò, huó	1	Pictophonetic - Mouth 口 provides the meaning while 禾 provides the sound	暖和[nuǎnhuo]: warm, nice and warm<br>和平[hépíng]: peace<br>共和国[gònghéguó]: republic
国	country, nation, state, national	guó		1	Ideograph - Simplified form of 國. An estate 或 within the borders 囗	中国[zhōngguó]: China, Middle Kingdom<br>国家[guójiā]: country, state, nation<br>国籍[guójí]: nationality
